source	sink	tmrca	size	tips
Eastern Asia	North America	2020-02-08	22	USA/SC_6370/2020|2020-03-08, USA/WI-UW-936/2020|2020-05-05, USA/GA_1847/2020|2020-03-05, USA/UT-QDX-57/2020|2020-03-12, USA/SC_3569/2020|2020-03-06, USA/IN-Lilly-IPB0170-14bc04/2020|2020-03-24, USA/NY-NYUMC894/2020|2020-04-30, USA/IL-UW-MAYO2/2020|2020-03-23, USA/GA-UW-MAYO64/2020|2020-03-22, USA/VA-DCLS-0544/2020|2020-03-11, USA/MD-MDH-0031/2020|2020-04-07, USA/TX-CDC-8001/2020|2020-03-11, USA/TX-HMH0446/2020|2020-04-03, USA/IL-UW-143/2020|2020-04-13, USA/IL-UW-126/2020|2020-04-11, USA/FL-BPHL-0359/2020|2020-04-15, USA/GA-EHC-009I/2020|2020-03-13, USA/NY-NYUMC565/2020|2020-03-30, USA/VI-CDC-3638/2020|2020-03-19, USA/TX-QDX-170/2020|2020-04-10, USA/MD_NIDDL_3202/2020|2020-04-16, USA/PA-MGEL107/2020|2020-03-31
Eastern Asia	Southeastern Asia	2020-02-09	1	Vietnam/CM99/2020|2020-02-11
Eastern Asia	Western Asia	2020-01-27	1	UnitedArabEmirates/L5630/2020|2020-01-29
Eastern Asia	Southeastern Asia	2020-01-20	3	Thailand/SI202769-NT/2020|2020-02-25, Thailand/Bangkok-CONI-0134/2020|2020-03-13, Thailand/SI202620-NT/2020|2020-02-22
Eastern Asia	Southeastern Asia	2020-01-22	1	Vietnam/38142/2020|2020-01-24
Eastern Asia	Southeastern Asia	2020-01-28	1	Malaysia/MKAK-CL-2020-5096/2020|2020-01-30
North America	Eastern Asia	2020-03-27	1	Taiwan/TSGH-33/2020|2020-03-29
North America	Central America	2020-03-12	1	Panama/329728/2020|2020-03-14
North America	South America	2020-07-20	1	Ecuador/USFQ-165/2020|2020-07-22
North America	Oceania	2020-03-18	1	NewZealand/20VR1275/2020|2020-03-20
North America	Eastern Asia	2020-05-20	1	SouthKorea/KCDC2300/2020|2020-05-22
Northern Europe	Central Asia	2020-04-14	1	Kazakhstan/18287/2020|2020-04-16
Northern Europe	Southern Europe	2020-06-16	1	Spain/PV-005144/2020|2020-06-18
Northern Europe	Central Asia	2020-04-17	2	Kazakhstan/16173/2020|2020-05-14, Kazakhstan/22001/2020|2020-04-23
Northern Europe	Oceania	2020-04-25	1	Australia/TAS255/2020|2020-04-27
South America	Southern Europe	2020-04-18	1	Spain/AR-005032/2020|2020-04-20
Southern Asia	Western Asia	2020-07-08	2	SaudiArabia/KAUST-JEDDAH467/2020|2020-08-04, SaudiArabia/KAUST-JEDDAH468/2020|2020-08-04
Southern Europe	Northern Europe	2020-03-16	1	England/20139018302/2020|2020-03-26
Southern Europe	Northern Europe	2020-03-24	4	Scotland/CVR3300/2020|2020-04-30, Scotland/GCVR-173D79/2020|2020-04-07, England/NOTT-112C15/2020|2020-04-30, Scotland/CVR2042/2020|2020-04-09
Southern Europe	South America	2020-03-08	1	Chile/Santiago_14/2020|2020-03-10
Southern Europe	South America	2020-03-03	2	Colombia/INS-79256/2020|2020-03-11, Uruguay/Mdeo-1/2020|2020-03-13
Southern Europe	Northern Europe	2020-03-18	1	England/BRIS-124DA4/2020|2020-03-26
Southern Europe	Western Europe	2020-04-05	1	Austria/CeMM0355/2020|2020-04-07
Southern Europe	North America	2020-04-04	1	USA/MA-MGH-00696/2020|2020-04-06
Southern Europe	South America	2020-03-04	1	Chile/Santiago_op2d1/2020|2020-03-06
Southern Europe	Central America	2020-03-18	1	Panama/331954/2020|2020-03-20
Southern Europe	Eastern Europe	2020-03-20	1	CzechRepublic/NRL_5556/2020|2020-03-22
Southern Europe	Central America	2020-04-11	1	Panama/340172/2020|2020-04-13
Southern Europe	Western Europe	2020-02-24	1	France/GE1583/2020|2020-02-26
Southern Europe	Central America	2020-03-17	9	Panama/334655/2020|2020-03-31, Panama/336523/2020|2020-04-05, Panama/337660/2020|2020-07-04, Panama/333517/2020|2020-03-27, Panama/337467/2020|2020-07-04, Panama/336491/2020|2020-04-05, Panama/340836/2020|2020-04-14, Panama/337442/2020|2020-07-04, Panama/336897/2020|2020-06-04
Southern Europe	Western Europe	2020-04-27	1	Luxembourg/LNS7543365/2020|2020-04-29
Southern Europe	South America	2020-03-23	1	Peru/LIM-INS-024/2020|2020-03-25
Western Asia	Eastern Africa	2020-04-18	1	Uganda/UG017/2020|2020-04-20
Western Asia	Western Africa	2020-02-29	4	Nigeria/OS055-CV8/2020|2020-03-29, SierraLeone/KGH-G-8668/2020|2020-04-11, SierraLeone/KGH-G-8790/2020|2020-04-27, SierraLeone/KGH-G-8669/2020|2020-04-14
Western Asia	Southern Africa	2020-06-15	1	SouthAfrica/KRISP-0267/2020|2020-06-17
Western Asia	Northern Europe	2020-04-20	1	Sweden/20-07739/2020|2020-04-22
Western Asia	Western Africa	2020-03-18	2	Mali/M002707/2020|2020-04-12, Mali/M002675/2020|2020-04-10
Western Asia	North America	2020-04-01	2	USA/NY-Yale-088/2020|2020-04-06, USA/NY-Yale-102/2020|2020-04-06
Western Asia	Eastern Africa	2020-03-24	1	Uganda/UG002/2020|2020-03-26
Western Asia	Southern Asia	2020-04-05	1	Bangladesh/BARJ_CVASU_CTG_503/2020|2020-05-13
Western Asia	Southern Asia	2020-05-24	1	India/OR-MW30/2020|2020-05-26
Western Asia	Southern Asia	2020-03-17	4	India/WB-IK54/2020|2020-05-06, India/WB-IK25/2020|2020-04-25, India/WB-IK8/2020|2020-04-05, India/WB-IK6/2020|2020-04-03
Western Asia	Western Africa	2020-03-08	4	Ghana/2573_S27/2020|2020-03-29, Ghana/84162_S45/2020|2020-04-25, Ghana/84260_S28/2020|2020-05-25, Ghana/84438_S50/2020|2020-05-24
Western Asia	Southern Asia	2020-05-18	2	Pakistan/NIH-44905/2020|2020-06-02, Pakistan/NIH-HAS001/2020|2020-06-02
ancestor	Eastern Asia	2019-11-25	36	Wuhan/HBCDC-HB-06/2020|2020-02-07, Wuhan/HBCDC-HB-02/2020|2020-01-17, Wuhan/HBCDC-HB-04/2020|2020-01-18, Wuhan/WH04/2020|2020-01-05, Beijing/BJ287/2020|2020-01-29, Guangdong/MZ02/2020|2020-02-15, Guangdong/MZ01/2020|2020-02-13, SouthKorea/KCDC06/2020|2020-01-30, SouthKorea/KCDC03/2020|2020-01-25, Sichuan/SC-PHCC1-027/2020|2020-02-09, SouthKorea/KCDC2063/2020|2020-02-06, Japan/TY-WK-012/2020|2020-01-29, Shenzhen/HKU-SZ-005/2020|2020-01-11, Shenzhen/HKU-SZ-002/2020|2020-01-10, Guangdong/20SF012/2020|2020-01-14, Shenzhen/SZTH-002/2020|2020-01-13, Guangdong/20SF013/2020|2020-01-15, Guangdong/20SF025/2020|2020-01-15, Guangzhou/GZMU0049/2020|2020-02-08, Beijing/BJ556/2020|2020-02-04, Sichuan/IVDC-SC-001/2020|2020-01-15, Shanghai/SH0032/2020|2020-02-01, SouthKorea/KCDC2065/2020|2020-02-09, Shanghai/SH0069/2020|2020-02-01, Yunnan/IVDC-YN-003/2020|2020-01-17, Shanghai/SH0115/2020|2020-02-11, Wuhan/HBCDC-HB-03/2020|2020-01-18, Taiwan/3/2020|2020-01-24, Guangzhou/GZMU0041/2020|2020-02-08, Sichuan/SC-PHCC2-048/2020|2020-02-14, Sichuan/SC-PHCC2-051/2020|2020-02-09, Guangzhou/GZMU0095/2020|2020-02-17, Guangzhou/GZMU0077/2020|2020-02-11, Guangzhou/GZMU0075/2020|2020-02-11, Guangdong/20SF4047/2020|2020-02-17, Guangdong/20SF2546/2020|2020-02-06
