traits	region_exposure	country	country_exposure
Algeria/G0638_2264/2020	Northern Africa	Algeria	Algeria
Algeria/G0640_2265/2020	Northern Africa	Algeria	Algeria
Algeria/G0860_2262/2020	Northern Africa	Algeria	Algeria
Argentina/C121/2020	South America	Argentina	Argentina
Argentina/C1374/2020	South America	Argentina	Argentina
Argentina/C3013/2020	South America	Argentina	Argentina
Argentina/Heritas_HG001/2020	South America	Argentina	Argentina
Argentina/Heritas_HG007/2020	South America	Argentina	Argentina
Argentina/Heritas_HG009/2020	South America	Argentina	Argentina
Argentina/Heritas_HG015/2020	South America	Argentina	Argentina
Argentina/PAIS-A0003/2020	South America	Argentina	Argentina
Argentina/PAIS-A0007/2020	South America	Argentina	Argentina
Argentina/PAIS-A0011/2020	South America	Argentina	Argentina
Argentina/PAIS-A0022/2020	South America	Argentina	Argentina
Argentina/PAIS-A0023/2020	South America	Argentina	Argentina
Argentina/PAIS-A0024/2020	South America	Argentina	Argentina
Australia/NSW143/2020	Oceania	Australia	Australia
Australia/NSW605/2020	Oceania	Australia	Australia
Australia/NSW627/2020	Oceania	Australia	Australia
Australia/NSW633/2020	Oceania	Australia	Australia
Australia/NSW703/2020	Oceania	Australia	Australia
Australia/NSW720/2020	Oceania	Australia	Australia
Australia/QLD04/2020	Oceania	Australia	Australia
Australia/QLDID922/2020	Oceania	Australia	Australia
Australia/SA02/2020	Oceania	Australia	Australia
Australia/VIC03/2020	Oceania	Australia	Australia
Australia/VIC06/2020	Oceania	Australia	Australia
Australia/VIC1144/2020	Oceania	Australia	Australia
Australia/VIC1463/2020	Oceania	Australia	Australia
Australia/VIC1513/2020	Oceania	Australia	Australia
Australia/VIC1562/2020	Oceania	Australia	Australia
Australia/VIC1661/2020	Oceania	Australia	Australia
Australia/VIC1676/2020	Oceania	Australia	Australia
Australia/VIC1814/2020	Oceania	Australia	Australia
Australia/VIC1945/2020	Oceania	Australia	Australia
Australia/VIC2025/2020	Oceania	Australia	Australia
Australia/VIC60/2020	Oceania	Australia	Australia
Australia/VIC657/2020	Oceania	Australia	Australia
Australia/VIC727/2020	Oceania	Australia	Australia
Australia/WA11/2020	Oceania	Australia	Australia
Australia/WA112/2020	Oceania	Australia	Australia
Australia/WA19/2020	Oceania	Australia	Australia
Australia/WA75/2020	Oceania	Australia	Australia
Austria/CeMM0024/2020	Western Europe	Austria	Austria
Austria/CeMM0125/2020	Western Europe	Austria	Austria
Austria/CeMM0143/2020	Western Europe	Austria	Austria
Austria/CeMM0150/2020	Western Europe	Austria	Austria
Austria/CeMM0212/2020	Western Europe	Austria	Austria
Austria/CeMM0244/2020	Western Europe	Austria	Austria
Austria/CeMM0375/2020	Western Europe	Austria	Austria
Austria/CeMM0448/2020	Western Europe	Austria	Austria
Austria/CeMM0454/2020	Western Europe	Austria	Austria
Austria/CeMM0546/2020	Western Europe	Austria	Austria
Austria/CeMM0553/2020	Western Europe	Austria	Austria
Austria/CeMM0576/2020	Western Europe	Austria	Austria
Austria/CeMM0622/2020	Western Europe	Austria	Austria
Austria/MUV_001/2020	Western Europe	Austria	Austria
Bahrain/023232093/2020	Western Asia	Bahrain	Bahrain
Bahrein/BAH-02/2020	Western Asia	Bahrain	Bahrain
Bahrein/BAH-03/2020	Western Asia	Bahrain	Bahrain
Bahrein/BAH-06/2020	Western Asia	Bahrain	Bahrain
Bahrein/BAH-12/2020	Western Asia	Bahrain	Bahrain
Bahrein/BAH-14/2020	Western Asia	Bahrain	Bahrain
Bahrein/BAH-26/2020	Western Asia	Bahrain	Bahrain
Bangladesh/BARJ-CVASU-CTG-517/2020	Southern Asia	Bangladesh	Bangladesh
Bangladesh/BCSIR-NILMRC_060/2020	Southern Asia	Bangladesh	Bangladesh
Bangladesh/BCSIR-NILMRC_080/2020	Southern Asia	Bangladesh	Bangladesh
Bangladesh/BCSIR-NILMRC_199/2020	Southern Asia	Bangladesh	Bangladesh
Bangladesh/BCSIR-NILMRC_236/2020	Southern Asia	Bangladesh	Bangladesh
Bangladesh/BCSIR-NILMRC_372/2020	Southern Asia	Bangladesh	Bangladesh
Bangladesh/CHRF_0002/2020	Southern Asia	Bangladesh	Bangladesh
Bangladesh/CHRF_0003/2020	Southern Asia	Bangladesh	Bangladesh
Bangladesh/CHRF_0009/2020	Southern Asia	Bangladesh	Bangladesh
Bangladesh/CHRF_0011/2020	Southern Asia	Bangladesh	Bangladesh
Bangladesh/NGRI_NSTU_05/2020	Southern Asia	Bangladesh	Bangladesh
Beijing/WH-09/2020	Eastern Asia	China	China
Belgium/BA-02291/2020	Western Europe	Belgium	Belgium
Belgium/BG-030551/2020	Western Europe	Belgium	Belgium
Belgium/BM-030687/2020	Western Europe	Belgium	Belgium
Belgium/BS-030598/2020	Western Europe	Belgium	Belgium
Belgium/CFM-0328312/2020	Western Europe	Belgium	Belgium
Belgium/DCS-0325158/2020	Western Europe	Belgium	Belgium
Belgium/DJ-030452/2020	Western Europe	Belgium	Belgium
Belgium/DJ-0409407/2020	Western Europe	Belgium	Belgium
Belgium/DMM-0325180/2020	Western Europe	Belgium	Belgium
Belgium/HL-030771/2020	Western Europe	Belgium	Belgium
Belgium/ITM_C067/2020	Western Europe	Belgium	Belgium
Belgium/KKN-0319184/2020	Western Europe	Belgium	Belgium
Belgium/MS-0324134/2020	Western Europe	Belgium	Belgium
