division_exposure	Peru	#E4C079
division_exposure	Colombia	#F1CE89
division_exposure	Venezuela	#FFDD99
division_exposure	Costa Rica	#A37A29
division_exposure	Guatemala	#BA9245
division_exposure	Belize	#D1AB61
division_exposure	Mexico	#E8C47D
division_exposure	Panama	#FFDD99
division_exposure	Florida	#A32929
division_exposure	Texas	#A83030
division_exposure	Maryland	#AE3737
division_exposure	San Diego	#B43E3E
division_exposure	California	#BA4545
division_exposure	Utah	#BF4C4C
division_exposure	Wyoming	#C55353
division_exposure	Washington	#CB5A5A
division_exposure	Massachusetts	#D16161
division_exposure	Illinois	#D66868
division_exposure	Michigan	#DC6F6F
division_exposure	Wisconsin	#E27676
division_exposure	Ontario	#E87D7D
division_exposure	Quebec	#ED8484
division_exposure	Newfoundland and Labrador	#F38B8B
division_exposure	Alberta	#F99292
division_exposure	British Columbia	#FF9999

location	Australia	#D161AB
location	China	#A3298F
location	Japan	#D161BE
location	South Korea	#FF99EE
location	Indonesia	#A329A3
location	Philippines	#D161D1
location	Thailand	#FF99FF
location	India	#8F29A3
location	Bangladesh	#AE4EC1
location	Pakistan	#CE73E0
location	Iran	#EE99FF
location	Kazakhstan	#AB61D1
location	Oman	#6629A3
location	United Arab Emirates	#7135AD
location	Qatar	#7C41B7
location	Saudi Arabia	#884EC1
location	Bahrain	#935ACB
location	Kuwait	#9E67D6
location	Israel	#AA73E0
location	Lebanon	#B580EA
location	Cyprus	#C08CF4
location	Turkey	#CC99FF
location	Ireland	#3D29A3
location	Wales	#4935AD
location	England	#5541B7
location	Scotland	#614EC1
location	Denmark	#6D5ACB
location	Latvia	#7967D6
location	Sweden	#8573E0
location	Finland	#9180EA
location	Norway	#9D8CF4
location	Iceland	#AA99FF
location	France	#293DA3
location	Switzerland	#3B4FB2
location	Austria	#4E61C1
location	Luxembourg	#6173D1
location	Belgium	#7385E0
location	Germany	#8697EF
location	Netherlands	#99AAFF
location	Bulgaria	#2966A3
location	Romania	#3F7AB5
location	Hungary	#558EC7
location	Ukraine	#6CA3DA
location	Poland	#82B7EC
location	Russia	#99CCFF
location	Greece	#298FA3
location	Spain	#379AAE
location	Portugal	#45A6BA
location	North Macedonia	#53B2C5
location	Italy	#61BED1
location	Serbia	#6FCADC
location	Bosnia and Herzegovina	#7DD6E8
location	Croatia	#8BE2F3
location	Slovenia	#99EEFF
location	Egypt	#3DA329
location	Algeria	#73D161
location	Morocco	#AAFF99
location	Senegal	#86D161
location	South Africa	#ABD161
location	Ecuador	#A37A29
location	Brazil	#B08839
location	Chile	#BD9649
location	Uruguay	#CAA459
location	Argentina	#D7B269
location	Peru	#E4C079
location	Colombia	#F1CE89
location	Venezuela	#FFDD99
location	Costa Rica	#A37A29
location	Guatemala	#BA9245
location	Belize	#D1AB61
location	Mexico	#E8C47D
location	Panama	#FFDD99
location	Florida	#A32929
location	Texas	#A93030
location	Maryland	#AF3737
location	San Diego	#B53F3F
location	California	#BB4646
location	Utah	#C14E4E
location	Wyoming	#C75555
location	Washington	#CD5D5D
location	Illinois	#D46464
location	Michigan	#DA6C6C
location	Wisconsin	#E07373
location	Ontario	#E67B7B
location	Quebec	#EC8282
location	Newfoundland and Labrador	#F28A8A
location	Alberta	#F89191
location	British Columbia	#FF9999


area	International	#B3914D
area	Other US areas	#3D668F
area	New England	#8F3D3D

